Nodo,Grupo
05FZA-115,5
04FMA-115,0
05AEP-115,0
06PRY-115,5
02SNS-115,6
03SLD-230,1
08PPO-115,2
03ING-69,1
06LBR-115,5
02LAV-400,6
02CJT-115,2
03IMP-115,1
03CNS-69,1
03RIG-115,1
05DGN-115,5
06RIB-138,5
04DYN-115,0
05SFB-115,0
04ORI-115,0
03AYL-115,1
03GKN-115,1
01PXA-85,6
05LGS-115,5
04EFR-230,0
02CIV-115,6
06MON-230,5
02ADD-115,2
01XOC-230,6
01TQC-115,6
08LAC-115,2
06MTN-115,5
05AMN-115,5
03GUD-69,1
06OVO-115,5
01TYA-230,6
03HYL-69,1
05LEX-115,0
02MDB-230,6
02MTL-115,6
03MIL-69,1
04TSR-115,0
06CYC-115,5
06MMD-230,5
02TPS-115,2
03COC-69,1
04CBA-115,0
03VYQ-115,1
05FXD-115,0
02RNA-115,6
03SPL-115,1
03NKA-69,1
04CUN-115,0
06MIG-138,5
04COC-115,0
03ZID-115,1
08SLC-230,2
01JDV-85,6
02ECM-115,2
03APZ-115,1
04LCH-115,0
05ISD-115,0
02MHT-115,2
06CMN-115,5
03UPT-115,1
05ALT-115,0
02TTP-115,2
06TMO-115,5
02CNJ-115,2
06CDT-115,5
02LMX-115,2
01AUR-230,6
01ATE-85,6
06PBS-115,5
03SEI-115,1
04CUS-115,0
01CTT-85,6
02KIM-115,2
02OWC-115,3
08CBU-115,2
06AUA-138,5
01NAU-85,6
05ARM-115,0
01ECA-230,6
01IXL-230,6
05CEJ-115,0
08NIZ-115,4
03ZLT-69,1
01ATU-115,6
05TBL-115,0
03TSM-115,1
05OAS-115,0
04SBK-115,0
05VEZ-115,0
06REY-138,5
03VAR-115,1
03MXT-115,1
02LRZ-115,2
04CUT-115,0
02MRO-115,2
05LEO-115,0
03LAS-115,1
03DEO-115,1
02PUE-115,2
06ALM-115,5
05DGD-115,5
01AVT-85,6
06POL-115,5
04GSV-115,0
08CAS-115,2
05SGP-115,5
02MID-400,2
06CYN-115,5
03LRE-115,1
03ABL-115,1
02HCO-115,2
03PUU-69,1
01TDK-230,6
02RBO-115,2
06LDC-115,5
06CIM-138,5
