Texto,Precio_Kg,Precio_Lt
1 Aguascalientes Aguascalientes ,20.03,10.82
1 Aguascalientes Asientos ,20.03,10.82
1 Aguascalientes El Llano ,20.03,10.82
1 Aguascalientes Jesús María ,20.03,10.82
1 Aguascalientes Pabellón de Arteaga ,20.03,10.82
1 Aguascalientes San Francisco de los Romo ,20.03,10.82
1 Aguascalientes San José de Gracia ,20.03,10.82
1 Aguascalientes Tepezalá ,20.03,10.82
1 Jalisco Villa Hidalgo ,20.03,10.82
1 Zacatecas Villa García ,20.03,10.82
2 Zacatecas Apozol ,20.57,11.11
2 Zacatecas Atolinga ,20.57,11.11
2 Zacatecas Benito Juárez ,20.57,11.11
2 Zacatecas El Plateado de Joaquín Amaro ,20.57,11.11
2 Zacatecas Huanusco ,20.57,11.11
2 Zacatecas Jalpa ,20.57,11.11
2 Zacatecas Juchipila ,20.57,11.11
2 Zacatecas Mezquital del Oro ,20.57,11.11
2 Zacatecas Momax ,20.57,11.11
2 Zacatecas Moyahua de Estrada ,20.57,11.11
2 Zacatecas Santa María de la Paz ,20.57,11.11
2 Zacatecas Tabasco ,20.57,11.11
2 Zacatecas Tepechitlán ,20.57,11.11
2 Zacatecas Teúl de González Ortega ,20.57,11.11
2 Zacatecas Tlaltenango de Sánchez Román ,20.57,11.11
2 Zacatecas Trinidad García de la Cadena ,20.57,11.11
2 Aguascalientes Calvillo ,20.57,11.11
3 Aguascalientes Cosío ,20.91,11.29
3 Aguascalientes Rincón de Romos ,20.91,11.29
3 Zacatecas Cuauhtémoc ,20.91,11.29
3 Zacatecas Genaro Codina ,20.91,11.29
3 Zacatecas Luis Moya ,20.91,11.29
4 Baja California Ensenada ,20.03,10.82
4 Baja California San Quintín ,20.03,10.82
5 Baja California Playas de Rosarito ,20.14,10.88
6 Baja California Sur Comondú ,24.08,13.00
7 Baja California Sur La Paz ,24.11,13.02
8 Baja California Sur Los Cabos ,24.45,13.20
9 Baja California Sur Loreto ,24.50,13.23
9 Baja California Sur Mulegé ,24.50,13.23
10 Baja California San Felipe ,20.14,10.88
10 Baja California Mexicali ,20.14,10.88
10 Baja California Tecate ,20.14,10.88
10 Baja California Tijuana ,20.14,10.88
11 Campeche Campeche ,19.88,10.73
11 Campeche Champotón ,19.88,10.73
11 Campeche Seybaplaya ,19.88,10.73
11 Campeche Tenabo ,19.88,10.73
12 Campeche Carmen ,19.47,10.52
13 Chiapas Cintalapa de Figueroa ,19.76,10.67
14 Chiapas La Trinitaria ,18.49,9.99
14 Chiapas Las Margaritas ,18.49,9.99
14 Chiapas Maravilla Tenejapa ,18.49,9.99
14 Chiapas Comitán de Domínguez ,19.86,10.73
14 Chiapas La Independencia ,19.86,10.73
14 Chiapas Las Rosas ,19.86,10.73
14 Chiapas Socoltenango ,19.86,10.73
14 Chiapas Tzimol ,19.86,10.73
15 Chiapas Benemérito de las Américas ,18.51,9.99
15 Chiapas Marqués de Comillas ,18.51,9.99
15 Chiapas Ocosingo ,18.51,9.99
15 Chiapas Altamirano ,19.88,10.73
15 Chiapas Chanal ,19.88,10.73
15 Chiapas Chilón ,19.88,10.73
15 Chiapas Oxchuc ,19.88,10.73
15 Chiapas Sabanilla ,19.88,10.73
15 Chiapas Sitalá ,19.88,10.73
15 Chiapas Tila ,19.88,10.73
15 Chiapas Tumbalá ,19.88,10.73
